device_type,hostname,username,password,vlan_list,intf_name,intf_desc,intf_switchport_mode,intf_access_vlan,intf_no_switchport,intf_encapsulation,intf_ipv4,intf_ipv6,ospf_process,intf_ospf_area,bgp_asn,router_id,bgp_neighbors_ipv4,bgp_networks_ipv4,bgp_neighbors_ipv6,bgp_networks_ipv6,bgp_redistribute_ospf,bgp_redistribute_ospfv3,ospf_default_info,ospf_redistribute_bgp,ospf_networks,static_ipv4_network,static_ipv4_nexthop,static_ipv6_network,static_ipv6_nexthop,rip_networks,rip_enabled,netmiko_device_type,management_ip
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
router,R1,admin,admin,"10,20,30,40,50",Ethernet1,,,,TRUE,,,,10,,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Ethernet1.40,,,,,40,10.10.3.1/28,2104::1/64,10,0.0.0.0,,10.0.0.1,,,,,,,,,10.0.0.1/32;10.10.3.0/28;10.10.4.0/24;10.10.0.0/28;10.10.1.0/28,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Ethernet1.50,,,,,50,10.10.4.1/24,,10,,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Ethernet2,,,,TRUE,,,,10,,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Ethernet2.10,,,,,10,10.10.0.1/28,2101::1/64,10,0.0.0.0,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Ethernet2.20,,,,,20,10.10.1.1/28,2102::1/64,10,0.0.0.0,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Ethernet2.30,,,,,30,,2103::1/64,10,0.0.0.0,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Ethernet2.50,,,,,50,10.10.40.1/24,,10,,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Loopback0,,,,,,10.0.0.1/32,,10,,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
router,R1,admin,admin,"10,20,30,40,50",Management0,,,,,,172.20.20.101/24,,10,,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
router,R2,admin,admin,"10,20,30,40,50",Ethernet1,,,,TRUE,,,,10,,,10.0.0.2,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Ethernet1.40,,,,,40,10.10.3.2/28,2104::2/64,10,0.0.0.0,,10.0.0.2,,,,,,,,,10.0.0.2/32;10.10.3.0/28;10.10.4.0/24;10.10.0.0/28;10.10.1.0/28,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Ethernet1.50,,,,,50,10.10.4.2/24,,10,,,10.0.0.2,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Ethernet2,,,,TRUE,,,,10,,,10.0.0.2,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Ethernet2.10,,,,,10,10.10.0.2/28,2101::2/64,10,0.0.0.0,,10.0.0.2,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Ethernet2.20,,,,,20,10.10.1.2/28,2102::2/64,10,0.0.0.0,,10.0.0.2,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Ethernet2.30,,,,,30,,2103::2/64,10,0.0.0.0,,10.0.0.2,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Ethernet2.50,,,,,50,10.10.40.2/24,,10,,,10.0.0.2,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Loopback0,,,,,,10.0.0.2/32,,10,,,10.0.0.2,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
router,R2,admin,admin,"10,20,30,40,50",Management0,,,,,,172.20.20.102/24,,10,,,10.0.0.1,,,,,,,,,,,,,,10.10.0.0;10.10.1.0,TRUE,arista_eos,172.20.20.102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_router,R3,admin,admin,"40,50",Ethernet1,,,,TRUE,,203.0.113.2/30,2111::1/64,10,,65030,1.0.0.3,1.0.0.5 remote-as 65050,10.0.0.0/8,2111::2 remote-as 65050,2111::/64,TRUE,TRUE,TRUE,TRUE,10.10.3.0/28;10.10.4.0/24,0.0.0.0/0,,,,,,arista_eos,172.20.20.103
edge_router,R3,admin,admin,"40,50",Ethernet2,,,,TRUE,,10.10.0.65/28,2112::1/64,10,0.0.0.0,,1.0.0.3,1.0.0.5 remote-as 65050,10.0.0.0/8,2111::2 remote-as 65050,2111::/64,TRUE,TRUE,TRUE,TRUE,10.10.3.0/28;10.10.4.0/24,0.0.0.0/0,,,,,,arista_eos,172.20.20.103
edge_router,R3,admin,admin,"40,50",Ethernet3,,,,TRUE,,,,10,,,1.0.0.3,1.0.0.5 remote-as 65050,10.0.0.0/8,2111::2 remote-as 65050,2111::/64,TRUE,TRUE,TRUE,TRUE,10.10.3.0/28;10.10.4.0/24,0.0.0.0/0,,,,,,arista_eos,172.20.20.103
edge_router,R3,admin,admin,"40,50",Ethernet3.40,,,,,40,10.10.3.3/28,2104::3/64,10,0.0.0.0,,1.0.0.3,1.0.0.5 remote-as 65050,10.0.0.0/8,2111::2 remote-as 65050,2111::/64,TRUE,TRUE,TRUE,TRUE,10.10.3.0/28;10.10.4.0/24,0.0.0.0/0,,,,,,arista_eos,172.20.20.103
